stock,bargainPrice.priceNow,bargainPrice.priceWas,markdown.markdownPercentage,product.title,product.brand,timestamp
2,2.77,3.69,25,Johma Oudekaas-pesto salade,Johma,2026-01-25 11:49:26
1,0.52,0.69,25,AH Huzarenslaatje,AH,2026-01-25 11:49:26
1,1.87,2.49,25,AH Ongezouten macadamiamix,AH,2026-01-25 11:49:26
6,1.07,1.79,40,Maggi Ovenschotel prei kerrie,Maggi,2026-01-25 11:49:26
2,1.07,1.79,40,Conimex Mix voor babi ketjap,Conimex,2026-01-25 11:49:26
10,1.43,2.39,40,Chtoura fields Falafelmix,Chtoura fields,2026-01-25 11:49:26
1,1.87,2.49,25,AH Sojabonen,AH,2026-01-25 11:49:26
6,1.79,2.99,40,Sera Red beans in tomato sauce,Sera,2026-01-25 11:49:26
10,1.4,2.79,50,Mentos Gum Pure fresh strong euca menthol,Mentos Gum,2026-01-25 11:49:26
6,1.4,2.79,50,Mentos Gum Sour green apple,Mentos Gum,2026-01-25 11:49:26
6,1.0,1.99,50,Red Band Pretletters zoet,Red Band,2026-01-25 11:49:26
4,1.4,2.79,50,Mentos Gum Sour strawberry,Mentos Gum,2026-01-25 11:49:26
2,1.5,2.99,50,Fruittella Berries & cherry,Fruittella,2026-01-25 11:49:26
1,2.0,3.99,50,Stimorol Spearmint,Stimorol,2026-01-25 11:49:26
1,1.0,1.99,50,Food2Smile Very berry,Food2Smile,2026-01-25 11:49:26
3,1.25,2.09,40,Ricola Gember sinaasappelmunt suikervrij,Ricola,2026-01-25 11:49:26
2,1.25,2.09,40,Ricola Cranberry suikervrij,Ricola,2026-01-25 11:49:26
2,1.25,2.09,40,Ricola Honing citroen echinacea,Ricola,2026-01-25 11:49:26
1,2.27,3.79,40,Bonne Maman Petits muffins au chocolat,Bonne Maman,2026-01-25 11:49:26
3,1.19,1.99,40,AH Oranjekoek stukjes met banketspijs,AH,2026-01-25 11:49:26
2,1.87,2.49,25,AH Roomboter karamel stroopwafels,AH,2026-01-25 11:49:26
1,2.77,3.69,25,Nutella & go,Nutella,2026-01-25 11:49:26
1,1.49,2.35,25,Verkade Specials hazelnoot melkchocolade,Verkade,2026-01-25 11:49:26
1,1.31,1.75,25,AH Stroopkoek,AH,2026-01-25 11:49:26
1,3.29,4.39,25,L'Atelier Melkchocoladereep hazelnoot & rozijn,L'Atelier,2026-01-25 11:49:26
14,2.1,4.19,50,Lotus Biscoff Speculoos witte chocolade stukjes,Lotus Biscoff,2026-01-25 11:49:26
11,1.15,2.29,50,Galler Wit kokosnoot,Galler,2026-01-25 11:49:26
9,1.67,2.79,40,Ferrero Rocher macadamia & hazelnut,Ferrero,2026-01-25 11:49:26
7,5.39,8.99,40,Lindt Mini pralines chocolade,Lindt,2026-01-25 11:49:26
3,2.81,4.69,40,Smarties Melkchocolade stazak,Smarties,2026-01-25 11:49:26
17,1.49,1.99,25,Milka Chocoladereep confetti,Milka,2026-01-25 11:49:26
13,1.34,1.79,25,Milka Chocolade reep wit,Milka,2026-01-25 11:49:26
8,3.22,4.29,25,Smarties Melkchocolade 6-pack,Smarties,2026-01-25 11:49:26
7,2.09,2.79,25,Ferrero Rocher hazelnoot puur,Ferrero,2026-01-25 11:49:26
5,1.94,2.59,25,AH Reep melkchocolade pinda karamel,AH,2026-01-25 11:49:26
4,2.24,2.99,25,M&M'S Gezouten karamel melk chocolade,M&M'S,2026-01-25 11:49:26
13,2.21,3.69,40,Sera Sourcherry jam,Sera,2026-01-25 11:49:26
1,2.39,3.19,25,Liga Milkbreak melk-aardbeiensmaak,Liga,2026-01-25 11:49:26
4,0.56,0.75,25,AH IJskoffie cappuccino,AH,2026-01-25 11:49:26
3,1.49,2.49,40,Roosvicee Multivit bosvruchten,Roosvicee,2026-01-25 11:49:26
2,1.49,2.49,40,Roosvicee Multivit aardbei-sinaasappel,Roosvicee,2026-01-25 11:49:26
15,0.74,0.99,25,AA Drink Burner zero,AA Drink,2026-01-25 11:49:26
