fetch_timestamp,title,brand,categoryTitle,priceWas,priceNow,markdownPercentage,stock
2026-02-04 20:50:12,Ariel Ultra+ vlekverwijderaar wasmiddel,Ariel,Huishouden,15.99,11.99,25,2
2026-02-04 20:50:12,Encore Tuna loin,Encore,Huisdier,2.29,1.37,40,17
2026-02-04 20:50:12,Felix Elke dag feest senior vis selectie gelei,Felix,Huisdier,6.69,4.01,40,3
2026-02-04 20:50:12,AH Pate met zalm,AH,Huisdier,0.79,0.59,25,14
2026-02-04 20:50:12,Felix Original vis selectie in gelei,Felix,Huisdier,5.69,4.27,25,6
2026-02-04 20:50:12,Rosewood Steak strips chicken & pollock,Rosewood,Huisdier,2.49,1.87,25,6
2026-02-04 20:50:12,Felix Sensations seaside met zalm & groenten,Felix,Huisdier,3.89,2.92,25,5
2026-02-04 20:50:12,Gourmet Mon petit intense duo in saus vlees mix,Gourmet,Huisdier,3.49,2.62,25,1
2026-02-04 19:57:10,AH Witte champignons,AH,"Groente, aardappelen",1.09,0.33,70,117
2026-02-04 19:57:10,AH Rauwkost radijs,AH,"Groente, aardappelen",2.49,0.75,70,2
2026-02-04 19:57:10,AH Gesneden verspakket pita gyros,AH,"Groente, aardappelen",6.99,2.10,70,1
2026-02-04 19:57:10,AH Snoepgroente radijs wortel,AH,"Groente, aardappelen",1.99,0.60,70,1
2026-02-04 19:57:10,AH Snoepgroente paprika bleekselderij,AH,"Groente, aardappelen",1.99,0.60,70,1
2026-02-04 19:57:10,AH Basismix Italiaans,AH,"Groente, aardappelen",1.99,0.60,70,1
2026-02-04 19:57:10,AH Tagliatelle met roomsaus verspakket,AH,"Groente, aardappelen",5.99,1.80,70,1
2026-02-04 19:57:10,AH Andijvie fijngesneden kleinverpakking,AH,"Groente, aardappelen",1.39,0.42,70,1
2026-02-04 19:57:10,AH Stoomgroente broccoli curry gember olie,AH,"Groente, aardappelen",3.99,0.72,70,1
2026-02-04 19:57:10,AH Stamppot bloemkool en prei verspakket,AH,"Groente, aardappelen",5.49,1.35,70,1
2026-02-04 19:57:10,AH Ovenschotel prei-kerrie verspakket,AH,"Groente, aardappelen",5.19,1.26,70,1
2026-02-04 19:57:10,AH Fijne soepgroente grootverpakking,AH,"Groente, aardappelen",1.99,0.60,70,1
2026-02-04 19:57:10,AH Gemengde salade grootverpakking,AH,"Groente, aardappelen",3.99,1.20,70,1
2026-02-04 19:57:10,AH Biologisch Rode kool,AH Biologisch,"Groente, aardappelen",2.29,0.69,70,1
2026-02-04 19:57:10,AH Taugé,AH,"Groente, aardappelen",1.09,0.33,70,1
2026-02-04 19:57:10,AH Tomatensoep verspakket,AH,"Groente, aardappelen",4.49,1.35,70,1
2026-02-04 19:57:10,AH Prei-kerrie soep verspakket,AH,"Groente, aardappelen",4.99,1.50,70,1
2026-02-04 19:57:10,AH Biologisch Rucola,AH Biologisch,"Groente, aardappelen",1.39,0.42,70,1
2026-02-04 19:57:10,AH Snoepgroente worteltjes,AH,"Groente, aardappelen",0.99,0.30,70,1
2026-02-04 19:57:10,AH Biologisch Milde kiemgroente,AH Biologisch,"Groente, aardappelen",1.99,1.19,40,3
2026-02-04 19:57:10,AH Stoomgroente bloemkool marscarponesaus,AH,"Groente, aardappelen",3.99,1.43,40,1
2026-02-04 19:57:10,AH Culi's groene curry limoenkip verspakket,AH,"Groente, aardappelen",7.49,4.49,40,1
2026-02-04 19:57:10,AH Culi's gebakken gnocchi verspakket,AH,"Groente, aardappelen",5.99,3.59,40,1
2026-02-04 19:57:10,AH Wokgroente Thais grootverpakking,AH,"Groente, aardappelen",2.99,2.24,25,6
2026-02-04 19:57:10,AH Dille,AH,"Groente, aardappelen",1.29,0.97,25,5
2026-02-04 19:57:10,AH Roerbakgroente Italiaans kleinverpakking,AH,"Groente, aardappelen",1.99,1.49,25,4
2026-02-04 19:57:10,AH Thaise wokgroente prei rode peper,AH,"Groente, aardappelen",2.39,1.79,25,3
2026-02-04 19:57:10,AH Eikenblad slamelange,AH,"Groente, aardappelen",1.59,1.19,25,3
2026-02-04 19:57:10,AH Burrito's verspakket,AH,"Groente, aardappelen",5.89,3.67,25,3
2026-02-04 19:57:10,AH Fijngesneden spitskool,AH,"Groente, aardappelen",1.19,0.89,25,3
2026-02-04 19:57:10,AH Erwtensoep verspakket,AH,"Groente, aardappelen",3.99,2.99,25,2
2026-02-04 19:57:10,AH Kastanjechampignons,AH,"Groente, aardappelen",1.59,1.19,25,2
2026-02-04 19:57:10,AH Biologisch Hutspot,AH Biologisch,"Groente, aardappelen",2.29,1.72,25,2
2026-02-04 19:57:10,AH Krieltjes mix vastkokend,AH,"Groente, aardappelen",1.89,1.42,25,2
2026-02-04 19:57:10,AH Gesneden spitskool,AH,"Groente, aardappelen",2.19,1.64,25,2
2026-02-04 19:57:10,AH Groente & granen volkoren couscous,AH,"Groente, aardappelen",3.99,2.99,25,1
2026-02-04 19:57:10,AH Jonge bladsla veldsla kleinverpakking,AH,"Groente, aardappelen",1.39,1.04,25,1
2026-02-04 19:57:10,AH IJsbergsla melange,AH,"Groente, aardappelen",1.19,0.89,25,1
2026-02-04 19:57:10,AH Gesneden uien grootverpakking,AH,"Groente, aardappelen",2.29,1.72,25,1
2026-02-04 19:57:10,AH Waterkers,AH,"Groente, aardappelen",1.99,1.49,25,1
2026-02-04 19:57:10,AH Gesneden verspakket roerbaknoodles sesam,AH,"Groente, aardappelen",6.99,5.24,25,1
